CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,xCentroide,yCentroide
"2600708",Aliança,PE,272.773,-35.193,-7.603
"2602407",Brejão,PE,159.786,-36.530,-9.027
"2604007",Carpina,PE,147.017,-35.306,-7.819
"2604106",Caruaru,PE,923.150,-36.017,-8.181
"2605707",Floresta,PE,3644.169,-38.306,-8.567
"2607109",Ingazeira,PE,243.586,-37.416,-7.714
"2607901",Jaboatão dos Guararapes,PE,258.724,-35.003,-8.152
"2608107",João Alfredo,PE,134.147,-35.592,-7.861
"2608750",Lagoa Grande,PE,1850.070,-40.223,-8.777
"2609907",Ouricuri,PE,2381.570,-40.164,-7.966
"2610004",Palmares,PE,339.291,-35.630,-8.657
"2611408",Primavera,PE,113.112,-35.391,-8.327
"2611903",Rio Formoso,PE,227.458,-35.218,-8.675
"2612406",Sanharó,PE,268.686,-36.550,-8.365
"2612703",Santa Maria do Cambucá,PE,92.148,-35.883,-7.825
"2615201",Terra Nova,PE,318.709,-39.397,-8.158
"2615805",Tupanatinga,PE,950.474,-37.280,-8.684
"2616407",Vitória de Santo Antão,PE,335.942,-35.288,-8.150
