idfrom;from;idto;to;intensity
260001;Recife;260003;Palmares;2
260001;Recife;260004;Limoeiro;2
260001;Recife;260018;Escada - Ribeirão;2
260001;Recife;260002;Goiana – Timbaúba;3
260001;Recife;260005;Vitória de Santo Antão;4
260001;Recife;260009;Caruaru;4
260001;Recife;260007;Barreiros - Sirinhaém;6
260001;Recife;260006;Carpina;7
260001;Recife;260001;Recife;47
260002;Goiana – Timbaúba;260008;Surubim;1
260002;Goiana – Timbaúba;260004;Limoeiro;4
260002;Goiana – Timbaúba;260009;Caruaru;7
260002;Goiana – Timbaúba;260001;Recife;16
260002;Goiana – Timbaúba;260006;Carpina;17
260002;Goiana – Timbaúba;260002;Goiana – Timbaúba;32
260003;Palmares;260007;Barreiros - Sirinhaém;3
260003;Palmares;260005;Vitória de Santo Antão;5
260003;Palmares;260018;Escada - Ribeirão;5
260003;Palmares;260010;Garanhuns;8
260003;Palmares;260001;Recife;14
260003;Palmares;260003;Palmares;18
260003;Palmares;260009;Caruaru;24
260004;Limoeiro;260016;Araripina;1
260004;Limoeiro;260002;Goiana – Timbaúba;3
260004;Limoeiro;260008;Surubim;4
260004;Limoeiro;260005;Vitória de Santo Antão;7
260004;Limoeiro;260004;Limoeiro;14
260004;Limoeiro;260009;Caruaru;14
260004;Limoeiro;260006;Carpina;16
260004;Limoeiro;260001;Recife;18
260005;Vitória de Santo Antão;260004;Limoeiro;3
260005;Vitória de Santo Antão;260006;Carpina;3
260005;Vitória de Santo Antão;260005;Vitória de Santo Antão;6
260005;Vitória de Santo Antão;260009;Caruaru;10
260005;Vitória de Santo Antão;260001;Recife;14
260006;Carpina;260015;Petrolina;1
260006;Carpina;260016;Araripina;1
260006;Carpina;260005;Vitória de Santo Antão;3
260006;Carpina;260009;Caruaru;6
260006;Carpina;260004;Limoeiro;8
260006;Carpina;260002;Goiana – Timbaúba;10
260006;Carpina;260006;Carpina;16
260006;Carpina;260001;Recife;22
260007;Barreiros - Sirinhaém;260016;Araripina;1
260007;Barreiros - Sirinhaém;260009;Caruaru;5
260007;Barreiros - Sirinhaém;260003;Palmares;8
260007;Barreiros - Sirinhaém;260001;Recife;15
260007;Barreiros - Sirinhaém;260007;Barreiros - Sirinhaém;18
260008;Surubim;260005;Vitória de Santo Antão;2
260008;Surubim;260006;Carpina;4
260008;Surubim;260001;Recife;7
260008;Surubim;260004;Limoeiro;8
260008;Surubim;260008;Surubim;9
260008;Surubim;260009;Caruaru;20
260009;Caruaru;260018;Escada - Ribeirão;1
