MUN_OR;NOME_ORIGEM;HIERAR_CID;MUN_DEST;NOME_DESTINO;HIERAR_CID_D
2600054;Abreu e Lima;1C;2611606;Recife;1C
2600054;Abreu e Lima;1C;2610707;Paulista;1C
2600054;Abreu e Lima;1C;2609600;Olinda;1C
2600054;Abreu e Lima;1C;2606200;Goiana;3B
2600054;Abreu e Lima;1C;2606804;Igarassu;1C
2600054;Abreu e Lima;1C;2613701;São Lourenço da Mata;1C
2600104;Afogados da Ingazeira;3B;2611606;Recife;1C
2600104;Afogados da Ingazeira;3B;2604106;Caruaru;2B
2600104;Afogados da Ingazeira;3B;2613909;Serra Talhada;3A
2600104;Afogados da Ingazeira;3B;2614600;Tabira;4B
2600104;Afogados da Ingazeira;3B;2601201;Arcoverde;3A
2600104;Afogados da Ingazeira;3B;2613602;São José do Egito;4B
2600104;Afogados da Ingazeira;3B;2603900;Carnaíba;5
2600104;Afogados da Ingazeira;3B;2612505;Santa Cruz do Capibaribe;3B
2600104;Afogados da Ingazeira;3B;2606903;Iguaracy;5
2600104;Afogados da Ingazeira;3B;2605608;Flores;5
2600104;Afogados da Ingazeira;3B;2615706;Triunfo;5
2600104;Afogados da Ingazeira;3B;2615409;Toritama;5
2600104;Afogados da Ingazeira;3B;2606002;Garanhuns;2C
2600104;Afogados da Ingazeira;3B;2612208;Salgueiro;3B
2600104;Afogados da Ingazeira;3B;2611101;Petrolina;2C
2600203;Afrânio;5;2611101;Petrolina;2C
2600203;Afrânio;5;2611606;Recife;1C
2600203;Afrânio;5;2605152;Dormentes;5
2600302;Agrestina;5;2604106;Caruaru;2B
2600302;Agrestina;5;2611606;Recife;1C
2600302;Agrestina;5;2605004;Cupira;5
2600302;Agrestina;5;2600807;Altinho;5
2600302;Agrestina;5;2613305;São Joaquim do Monte;5
2600302;Agrestina;5;2604205;Catende;5
2600302;Agrestina;5;2601706;Belo Jardim;3B
2600302;Agrestina;5;2601508;Belém de Maria;5
2600302;Agrestina;5;2606002;Garanhuns;2C
2600401;Água Preta;5;2611606;Recife;1C
2600401;Água Preta;5;2610004;Palmares;3B
2600401;Água Preta;5;2604106;Caruaru;2B
2600401;Água Preta;5;2614857;Tamandaré;5
2600401;Água Preta;5;2601409;Barreiros;4A
2600401;Água Preta;5;2613404;São José da Coroa Grande;5
2600401;Água Preta;5;2604205;Catende;5
2600401;Água Preta;5;2616407;Vitória de Santo Antão;3B
2600401;Água Preta;5;2615409;Toritama;5
2600401;Água Preta;5;2606002;Garanhuns;2C
2600500;Águas Belas;5;2606002;Garanhuns;2C
2600500;Águas Belas;5;2611606;Recife;1C
2600500;Águas Belas;5;2601201;Arcoverde;3A
2600500;Águas Belas;5;2607505;Itaíba;5
2600500;Águas Belas;5;2604106;Caruaru;2B
2600609;Alagoinha;5;2610905;Pesqueira;4A
2600609;Alagoinha;5;2611606;Recife;1C
2600609;Alagoinha;5;2601201;Arcoverde;3A
2600609;Alagoinha;5;2604106;Caruaru;2B
2600609;Alagoinha;5;2616001;Venturosa;5
2600609;Alagoinha;5;2601706;Belo Jardim;3B
2600609;Alagoinha;5;2612505;Santa Cruz do Capibaribe;3B
2600609;Alagoinha;5;2602803;Buíque;5
2600708;Aliança;5;2611606;Recife;1C
2600708;Aliança;5;2615300;Timbaúba;3B
2600708;Aliança;5;2606200;Goiana;3B
2600708;Aliança;5;2604007;Carpina;3B
2600708;Aliança;5;2609501;Nazaré da Mata;5
2600708;Aliança;5;2615508;Tracunhaém;5
2600708;Aliança;5;2604106;Caruaru;2B
2600708;Aliança;5;2614501;Surubim;3B
2600708;Aliança;5;2607653;Itambé;5
2600708;Aliança;5;2608909;Limoeiro;3B
2600807;Altinho;5;2604106;Caruaru;2B
2600807;Altinho;5;2611606;Recife;1C
2600807;Altinho;5;2600302;Agrestina;5
2600807;Altinho;5;2606002;Garanhuns;2C
2600807;Altinho;5;2606705;Ibirajuba;5
2600807;Altinho;5;2605004;Cupira;5
2600906;Amaraji;5;2611606;Recife;1C
2600906;Amaraji;5;2605202;Escada;3B
2600906;Amaraji;5;2616407;Vitória de Santo Antão;3B
2600906;Amaraji;5;2606408;Gravatá;4A
2600906;Amaraji;5;2604106;Caruaru;2B
2600906;Amaraji;5;2611408;Primavera;5
2600906;Amaraji;5;2602902;Cabo de Santo Agostinho;1C
2600906;Amaraji;5;2610004;Palmares;3B
2600906;Amaraji;5;2604502;Chã Grande;5
2600906;Amaraji;5;2609402;Moreno;1C
2600906;Amaraji;5;2604007;Carpina;3B
2600906;Amaraji;5;2611804;Ribeirão;5
2601003;Angelim;5;2606002;Garanhuns;2C
2601003;Angelim;5;2611606;Recife;1C
2601003;Angelim;5;2603702;Canhotinho;5
2601003;Angelim;5;2604106;Caruaru;2B
2601003;Angelim;5;2613206;São João;5
2601003;Angelim;5;2610103;Palmeirina;5
2601003;Angelim;5;2611507;Quipapá;5
2601003;Angelim;5;2612455;Santa Cruz;5
2601052;Araçoiaba;1C;2611606;Recife;1C
2601052;Araçoiaba;1C;2604007;Carpina;3B
2601052;Araçoiaba;1C;2606804;Igarassu;1C
2601052;Araçoiaba;1C;2610707;Paulista;1C
2601052;Araçoiaba;1C;2600054;Abreu e Lima;1C
2601052;Araçoiaba;1C;2609600;Olinda;1C
2601052;Araçoiaba;1C;2613701;São Lourenço da Mata;1C
2601052;Araçoiaba;1C;2607752;Itapissuma;1C
2601052;Araçoiaba;1C;2610608;Paudalho;1C
2601052;Araçoiaba;1C;2608909;Limoeiro;3B
2601052;Araçoiaba;1C;2609501;Nazaré da Mata;5
2601052;Araçoiaba;1C;2615508;Tracunhaém;5
2601052;Araçoiaba;1C;2603454;Camaragibe;1C
2601102;Araripina;3B;2611606;Recife;1C
2601102;Araripina;3B;2611101;Petrolina;2C
2601102;Araripina;3B;2609907;Ouricuri;3A
2601102;Araripina;3B;2615607;Trindade;5
2601102;Araripina;3B;2612455;Santa Cruz;5
2601102;Araripina;3B;2604106;Caruaru;2B
2601201;Arcoverde;3A;2611606;Recife;1C
2601201;Arcoverde;3A;2604106;Caruaru;2B
2601201;Arcoverde;3A;2606002;Garanhuns;2C
2601201;Arcoverde;3A;2613909;Serra Talhada;3A
2601201;Arcoverde;3A;2610905;Pesqueira;4A
2601201;Arcoverde;3A;2610806;Pedra;5
2601201;Arcoverde;3A;2616001;Venturosa;5
2601201;Arcoverde;3A;2606408;Gravatá;4A
2601201;Arcoverde;3A;2602803;Buíque;5
2601201;Arcoverde;3A;2611101;Petrolina;2C
2601300;Barra de Guabiraba;5;2604106;Caruaru;2B
2601300;Barra de Guabiraba;5;2611606;Recife;1C
2601300;Barra de Guabiraba;5;2602308;Bonito;5
2601300;Barra de Guabiraba;5;2601904;Bezerros;5
2601300;Barra de Guabiraba;5;2610004;Palmares;3B
2601300;Barra de Guabiraba;5;2603504;Camocim de São Félix;5
2601300;Barra de Guabiraba;5;2604809;Cortês;5
