CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,xCentroide,yCentroide,rgi,nome_rgi
"2600054",Abreu e Lima,PE,126.384,-35.019,-7.88,"260001",Recife
"2600104",Afogados da Ingazeira,PE,377.696,-37.62,-7.737,"260014",Afogados da Ingazeira
"2600203",Afrânio,PE,1490.594,-41.005,-8.619,"260015",Petrolina
"2600302",Agrestina,PE,200.369,-35.945,-8.457,"260009",Caruaru
"2600401",Água Preta,PE,533.332,-35.482,-8.729,"260003",Palmares
"2600500",Águas Belas,PE,885.988,-37.039,-9.087,"260010",Garanhuns
"2600609",Alagoinha,PE,216.452,-36.755,-8.494,"260012",Belo Jardim – Pesqueira
"2600708",Aliança,PE,272.773,-35.193,-7.603,"260002",Goiana – Timbaúba
"2600807",Altinho,PE,450.178,-36.099,-8.491,"260009",Caruaru
"2600906",Amaraji,PE,234.956,-35.466,-8.365,"260018",Escada - Ribeirão
"2601003",Angelim,PE,118.037,-36.277,-8.892,"260010",Garanhuns
"2601052",Araçoiaba,PE,96.36,-35.076,-7.793,"260001",Recife
"2601102",Araripina,PE,2037.394,-40.485,-7.608,"260016",Araripina
"2601201",Arcoverde,PE,323.37,-37.01,-8.385,"260011",Arcoverde
"2601300",Barra de Guabiraba,PE,120.583,-35.632,-8.416,"260009",Caruaru
"2601409",Barreiros,PE,233.433,-35.259,-8.82,"260007",Barreiros - Sirinhaém
"2601508",Belém de Maria,PE,75.142,-35.815,-8.605,"260003",Palmares
"2601607",Belém do São Francisco,PE,1830.797,-38.982,-8.584,"260017",Salgueiro
"2601706",Belo Jardim,PE,647.696,-36.405,-8.259,"260012",Belo Jardim – Pesqueira
"2601805",Betânia,PE,1244.074,-37.988,-8.265,"260013",Serra Talhada
"2601904",Bezerros,PE,492.632,-35.782,-8.218,"260009",Caruaru
"2602001",Bodocó,PE,1621.786,-39.965,-7.656,"260016",Araripina
"2602100",Bom Conselho,PE,792.185,-36.684,-9.203,"260010",Garanhuns
"2602209",Bom Jardim,PE,224.12,-35.589,-7.787,"260004",Limoeiro
"2602308",Bonito,PE,390.107,-35.708,-8.495,"260009",Caruaru
"2602407",Brejão,PE,159.786,-36.53,-9.027,"260010",Garanhuns
"2602506",Brejinho,PE,106.275,-37.321,-7.337,"260014",Afogados da Ingazeira
"2602605",Brejo da Madre de Deus,PE,762.346,-36.281,-8.076,"260009",Caruaru
"2602704",Buenos Aires,PE,93.187,-35.347,-7.738,"260006",Carpina
"2602803",Buíque,PE,1320.87,-37.121,-8.649,"260011",Arcoverde
"2602902",Cabo de Santo Agostinho,PE,445.343,-35.086,-8.269,"260001",Recife
"2603009",Cabrobó,PE,1658.616,-39.329,-8.386,"260017",Salgueiro
"2603108",Cachoeirinha,PE,179.262,-36.291,-8.485,"260009",Caruaru
"2603207",Caetés,PE,294.946,-36.659,-8.804,"260010",Garanhuns
"2603306",Calçado,PE,121.945,-36.322,-8.751,"260010",Garanhuns
"2603405",Calumbi,PE,179.314,-38.079,-8.004,"260013",Serra Talhada
"2603454",Camaragibe,PE,51.321,-34.996,-7.987,"260001",Recife
"2603504",Camocim de São Félix,PE,71.985,-35.772,-8.35,"260009",Caruaru
"2603603",Camutanga,PE,39.116,-35.299,-7.434,"260002",Goiana – Timbaúba
"2603702",Canhotinho,PE,423.168,-36.177,-8.893,"260010",Garanhuns
"2603801",Capoeiras,PE,336.329,-36.599,-8.687,"260010",Garanhuns
"2603900",Carnaíba,PE,427.802,-37.727,-7.796,"260014",Afogados da Ingazeira
"2603926",Carnaubeira da Penha,PE,1004.667,-38.722,-8.409,"260013",Serra Talhada
"2604007",Carpina,PE,147.017,-35.306,-7.819,"260006",Carpina
"2604106",Caruaru,PE,923.15,-36.017,-8.181,"260009",Caruaru
"2604155",Casinhas,PE,115.868,-35.721,-7.756,"260008",Surubim
"2604205",Catende,PE,207.244,-35.73,-8.676,"260003",Palmares
"2604304",Cedro,PE,148.746,-39.204,-7.744,"260017",Salgueiro
"2604403",Chã de Alegria,PE,48.993,-35.222,-7.999,"260005",Vitória de Santo Antão
"2604502",Chã Grande,PE,84.848,-35.474,-8.23,"260009",Caruaru
"2604601",Condado,PE,89.645,-35.099,-7.596,"260002",Goiana – Timbaúba
"2604700",Correntes,PE,317.793,-36.339,-9.115,"260010",Garanhuns
"2604809",Cortês,PE,101.316,-35.531,-8.433,"260018",Escada - Ribeirão
"2604908",Cumaru,PE,292.231,-35.721,-8.04,"260009",Caruaru
"2605004",Cupira,PE,95.155,-35.931,-8.583,"260009",Caruaru
"2605103",Custódia,PE,1404.126,-37.682,-8.174,"260011",Arcoverde
"2605152",Dormentes,PE,1539.052,-40.62,-8.496,"260015",Petrolina
"2605202",Escada,PE,342.201,-35.265,-8.37,"260018",Escada - Ribeirão
"2605301",Exu,PE,1336.786,-39.748,-7.516,"260016",Araripina
"2605400",Feira Nova,PE,107.726,-35.383,-7.953,"260004",Limoeiro
"2605459",Fernando de Noronha,PE,18.609,-32.424,-3.854,"260001",Recife
"2605509",Ferreiros,PE,92.516,-35.245,-7.478,"260002",Goiana – Timbaúba
"2605608",Flores,PE,995.558,-37.895,-7.94,"260013",Serra Talhada
"2605707",Floresta,PE,3644.169,-38.306,-8.567,"260013",Serra Talhada
