idfrom;from;idto;to;perc_lig;ia
2600054;Abreu e Lima;2611606;Recife;0.5546666667;55257.0026666667
2600054;Abreu e Lima;2610707;Paulista;127;12651994
2600054;Abreu e Lima;2609600;Olinda;0.12;11954.64
2600054;Abreu e Lima;2606200;Goiana;0.0892473118;8890.9956989247
2600054;Abreu e Lima;2606804;Igarassu;0.0466666667;4649.0266666667
2600054;Abreu e Lima;2613701;São Lourenço da Mata;0.0183333333;1826.4033333333
2600104;Afogados da Ingazeira;2611606;Recife;0.4716666667;17504.0216666667
2600104;Afogados da Ingazeira;2604106;Caruaru;115;4267765
2600104;Afogados da Ingazeira;2613909;Serra Talhada;0.1033333333;3834.8033333333
2600104;Afogados da Ingazeira;2614600;Tabira;0.0676279863;2509.7422013652
2600104;Afogados da Ingazeira;2601201;Arcoverde;0.0433333333;1608.1433333333
2600104;Afogados da Ingazeira;2613602;São José do Egito;0.040745165;1512.0938168373
2600104;Afogados da Ingazeira;2603900;Carnaíba;0.0290216155;1077.0211717861
2600104;Afogados da Ingazeira;2612505;Santa Cruz do Capibaribe;0.0166666667;618.5166666667
2600104;Afogados da Ingazeira;2606903;Iguaracy;0.0134812287;500.3018771331
2600104;Afogados da Ingazeira;2605608;Flores;0.0124573379;462.3042662116
2600104;Afogados da Ingazeira;2615706;Triunfo;0.01;371.11
2600104;Afogados da Ingazeira;2615409;Toritama;0.0066666667;247.4066666667
2600104;Afogados da Ingazeira;2606002;Garanhuns;5;185555
2600104;Afogados da Ingazeira;2612208;Salgueiro;5;185555
2600104;Afogados da Ingazeira;2611101;Petrolina;0.0033333333;123.7033333333
2600203;Afrânio;2611101;Petrolina;0.6498242812;12642.9812140575
2600203;Afrânio;2611606;Recife;0.1066666667;2075.3066666667
2600203;Afrânio;2605152;Dormentes;0.0416666667;810.6666666667
2600302;Agrestina;2604106;Caruaru;0.6194507198;15301.6716810631
2600302;Agrestina;2611606;Recife;0.2216666667;5475.61
2600302;Agrestina;2605004;Cupira;0.0301550388;744.8897674419
2600302;Agrestina;2600807;Altinho;0.012448505;307.5029700997
2600302;Agrestina;2613305;São Joaquim do Monte;0.0116666667;288.19
2600302;Agrestina;2604205;Catende;0.010730897;265.0746179402
2600302;Agrestina;2601706;Belo Jardim;0.0066666667;164.68
2600302;Agrestina;2601508;Belém de Maria;0.0055481728;137.0509634551
2600302;Agrestina;2606002;Garanhuns;5;123.51
2600401;Água Preta;2611606;Recife;0.37;13487.98
2600401;Água Preta;2610004;Palmares;0.3217424242;11728.7983333333
2600401;Água Preta;2604106;Caruaru;0.1966666667;7169.2866666667
2600401;Água Preta;2614857;Tamandaré;25;911.35
2600401;Água Preta;2601409;Barreiros;0.0238636364;869925
2600401;Água Preta;2613404;São José da Coroa Grande;0.0227272727;828.5
2600401;Água Preta;2604205;Catende;5;182.27
2600401;Água Preta;2616407;Vitória de Santo Antão;5;182.27
2600401;Água Preta;2615409;Toritama;0.0033333333;121.5133333333
2600401;Água Preta;2606002;Garanhuns;0.0016666667;60.7566666667
