rgi,nome_rgi,xCentroide,yCentroide
"260001",Recife,-35.044,-8.089
"260006",Carpina,-35.268,-7.789
"260011",Arcoverde,-37.391,-8.546
"260014",Afogados da Ingazeira,-37.440,-7.646
"260015",Petrolina,-40.384,-8.764
"260009",Caruaru,-36.024,-8.245
"260003",Palmares,-35.617,-8.706
"260007",Barreiros - Sirinhaém,-35.212,-8.696
"260018",Escada - Ribeirão,-35.374,-8.406
"260010",Garanhuns,-36.587,-8.981
"260012",Belo Jardim – Pesqueira,-36.562,-8.389
"260002",Goiana – Timbaúba,-35.187,-7.571
"260005",Vitória de Santo Antão,-35.326,-8.113
"260016",Araripina,-40.158,-7.811
"260013",Serra Talhada,-38.331,-8.344
"260017",Salgueiro,-39.308,-8.228
"260004",Limoeiro,-35.531,-7.871
"260008",Surubim,-35.845,-7.869
